headline,extracted_text,link,sources,category,timestamp,keywords
Joe Biden Respons Perintah Tangkap Putin,"['Presiden Amerika Serikat (AS) Joe Biden  menyetujui Pengadilan Kriminal Internasional (ICC) di Den Haag yang telah mengeluarkan surat perintah penangkapan untuk Presiden Rusia Vladimir Putin atas dugaan kejahatan perang di Ukraina.', '""Menunjukkan poin yang sangat kuat,"" kata Biden mengutip AFP , Sabtu (18/3).', 'Di satu sisi, Biden menekankan bahwa AS bukan anggota ICC.', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', '', 'Pengadilan Kriminal Internasional (ICC) mengumumkan pada Jumat (17/3) bahwa pihaknya telah mengeluarkan surat perintah penangkapan terhadap Presiden Rusia Vladimir Putinatas tuduhan kejahatan perang mendeportasi anak-anak Ukraina secara tidak sah.', 'Selain Putin, ICC juga mengeluarkan surat perintah penangkapan terhadap Maria Lvova-Belova, komisaris kepresidenan Rusia untuk hak-hak anak, atas tuduhan serupa.', 'Selain Putin, ICC juga mengeluarkan surat perintah penangkapan terhadap Maria Lvova-Belova, komisaris kepresidenan Rusia untuk hak-hak anak, atas tuduhan serupa.', 'Sementara itu, Rusia menyatakan keputusan ICC yang mengeluarkan surat perintah penangkapan terhadap Putin secara hukum batal.', '', 'Moskow tidak mengakui yurisdiksi pengadilan yang berbasis di Den Haag itu.', '""Rusia, seperti sejumlah negara lain, tidak mengakui yurisdiksi pengadilan ini dan dari sudut pandang hukum, keputusan pengadilan ini batal,"" kata juru bicara Kremlin Dmitry Peskov kepada wartawan, dikutip AFP, Jumat (17/3).', 'Rusia bukan anggota ICC. Juru bicara Kementerian Luar Negeri Rusia Maria Zakharova mengatakan keputusan ICC tidak ada artinya bagi Rusia.', '""Rusia bukan pihak Statuta Roma Pengadilan Kriminal Internasional dan tidak memiliki kewajiban di bawahnya,"" katanya di Telegram.', '""Rusia tidak bekerja sama dengan badan ini dan kemungkinan \'upaya\' penangkapan yang datang dari pengadilan internasional akan batal secara hukum sejauh yang kami ketahui,"" kata Zakharova, tanpa menyebut nama Putin.', '']",https://www.cnnindonesia.com/internasional/20230318071549-134-926649/joe-biden-respons-perintah-tangkap-putin?page=all,CNN,internasional,2023-03-18,"['joe', 'biden,', 'vladimir', 'putin,', 'rusia,', 'pengadilan', 'kriminal', 'internasional']"
Zelensky Respons Perintah Penangkapan Putin: Sejarah Akan Dimulai,"['Presiden Ukraina Volodymyr Zelensky  memuji keputusan bersejarah Pengadilan Kriminal Internasional (ICC) yang mengeluarkan surat perintah penangkapan pemimpin Rusia Vladimir Putin .', '""Keputusan bersejarah di mana tanggung jawab bersejarah akan dimulai,"" kata Zelensky di media sosial Twitter.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', 'Pada Jumat (17/3), Pengadilan Kriminal Internasional mengumumkan bahwa pihaknya telah mengeluarkan surat perintah penangkapan terhadap Putin atas tuduhan kejahatan perang mendeportasi anak-anak Ukraina secara tidak sah.', 'ICC juga mengeluarkan surat perintah penangkapan terhadap Maria Lvova-Belova selaku komisaris kepresidenan Rusia untuk hak-hak anak, atas tuduhan serupa.', '', '[Gambas:Twitter]', '', 'Merespons hal itu, Kremlin menyatakan keputusan ICC yang mengeluarkan surat perintah penangkapan terhadap Putin secara hukum batal.', 'Moskow tidak mengakui yurisdiksi pengadilan yang berbasis di Den Haag itu.', '""Rusia, seperti sejumlah negara lain, tidak mengakui yurisdiksi pengadilan ini dan dari sudut pandang hukum, keputusan pengadilan ini batal,"" kata juru bicara Kremlin Dmitry Peskov kepada wartawan, dikutip AFP , Jumat (17/3).', '', 'Dia menyatakan Rusia bukan anggota ICC. Juru bicara Kementerian Luar Negeri Rusia Maria Zakharova mengatakan keputusan ICC tidak ada artinya bagi Rusia.', '""Rusia bukan pihak Statuta Roma Pengadilan Kriminal Internasional dan tidak memiliki kewajiban di bawahnya,"" katanya di Telegram.', '""Rusia tidak bekerja sama dengan badan ini dan kemungkinan \'upaya\' penangkapan yang datang dari pengadilan internasional akan batal secara hukum sejauh yang kami ketahui,"" kata Zakharova, tanpa menyebut nama Putin.']",https://www.cnnindonesia.com/internasional/20230318050729-134-926644/zelensky-respons-perintah-penangkapan-putin-sejarah-akan-dimulai?page=all,CNN,internasional,2023-03-18,"['ukraina,', 'volodymyr', 'zelensky,', 'vladimir', 'putin,', 'rusia,', 'icc']"
"Pengadilan Internasional Perintahkan Tangkap Putin, Kremlin Menolak","['Pengadilan Kriminal Internasional ( ICC ) mengumumkan pada Jumat (17/3) bahwa pihaknya telah mengeluarkan surat perintah penangkapan terhadap Presiden Rusia Vladimir Putin  atas tuduhan kejahatan perang mendeportasi anak-anak Ukraina secara tidak sah.', 'ICC juga mengeluarkan surat perintah penangkapan terhadap Maria Lvova-Belova, komisaris kepresidenan Rusia untuk hak-hak anak, atas tuduhan serupa.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', 'Menyikapi surat perintah itu, Kremlin menyatakan keputusan ICC yang mengeluarkan surat perintah penangkapan terhadap Putin secara hukum batal.', 'Moskow tidak mengakui yurisdiksi pengadilan yang berbasis di Den Haag itu.', '""Rusia, seperti sejumlah negara lain, tidak mengakui yurisdiksi pengadilan ini dan dari sudut pandang hukum, keputusan pengadilan ini batal,"" kata juru bicara Kremlin Dmitry Peskov kepada wartawan, dikutip AFP, Jumat (17/3).', 'Rusia bukan anggota ICC. Juru bicara Kementerian Luar Negeri Rusia Maria Zakharova mengatakan keputusan ICC tidak ada artinya bagi Rusia.', '""Rusia bukan pihak Statuta Roma Pengadilan Kriminal Internasional dan tidak memiliki kewajiban di bawahnya,"" katanya di Telegram.', '', '""Rusia tidak bekerja sama dengan badan ini dan kemungkinan \'upaya\' penangkapan yang datang dari pengadilan internasional akan batal secara hukum sejauh yang kami ketahui,"" kata Zakharova, tanpa menyebut nama Putin.', 'Mantan presiden Rusia Dmitry Medvedev juga berkomentar di Twitter. Dia menyamakan surat perintah itu dengan kertas toilet.', 'Di pihak lain, Ukraina yang dilanda perang menyambut baik pengumuman ICC tersebut. Jaksa Agung Ukraina menyebut surat perintah ""bersejarah"" untuk Putin itu baru permulaan.', '""Dunia menerima sinyal bahwa rezim Rusia adalah kriminal dan kepemimpinan serta antek-anteknya akan dimintai pertanggungjawaban,"" kata Jaksa Agung Ukraina Andriy Kostin di media sosial.', '""Ini adalah keputusan bersejarah bagi Ukraina dan seluruh sistem hukum internasional,"" tambah Kostin.', 'Pemberitahuan terkait penangkapan Putin datang beberapa jam setelah berita lain yang berpotensi berdampak signifikan terhadap perang Rusia di Ukraina, termasuk kunjungan Moskow dari pemimpin China Xi Jinping dan lebih banyak jet tempur untuk pasukan Kyiv.', '']",https://www.cnnindonesia.com/internasional/20230318020336-134-926638/pengadilan-internasional-perintahkan-tangkap-putin-kremlin-menolak?page=all,CNN,internasional,2023-03-18,"['icc,', 'pengadilan', 'kriminal', 'internasional,', 'rusia,', 'vladimir', 'putin,', 'ukraina']"
Rusia Klaim Tak Ancam Finlandia Ingin Masuk NATO: Kami Tak Berselisih,"['Kremlin mengklaim pihaknya tak mengancam dan bukan ancaman bagi Finlandia yang akan masuk Pakta Pertahanan Atlantik Utara ( NATO ) usai invasi  Rusia di Ukraina .', 'Juru bicara Kremlin, Dmitry Peskov, mengatakan Rusia menyesalkan langkah Helsinki yang ingin bergabung dengan aliansi militer itu.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', '""Kami telah berkali-kali menyatakan penyesalan atas langkah Finlandia dan Swedia untuk menjadi anggota dan berkali-kali mengatakan bahwa Rusia tak menimbulkan ancaman bagi negara-negara ini,"" kata Peskov pada Kamis (16/2), seperti dikutip AFP .', 'Ia kemudian berujar, ""Kami tak berselisih dengan negara-negara ini. Mereka tak pernah mengancam kami dan, logisnya, kami tak mengancam mereka.""', '[Gambas:Video CNN]', 'Terpisah, Duta Besar Rusia untuk Indonesia Lyudmila Vorobieva mengatakan Kremlin bakal bertindak jika Finlandia dan Swedia betul-betul masuk NATO.', '""Tentu saja jika Swedia dan Finlandia, yang bertetangga dengan negara kami, bergabung dengan NATO itu akan mengkhawatirkan, keamanan kita dalam bahaya. Kami akan bertindak untuk berkoordinasi,"" kata Vorobieva saat wawancara eklusif dengan CNNIndonesia.com pada akhir Februari.', '', 'Vorobieva juga mempertanyakan apakah jika kedua negara itu bergabung dengan NATO Eropa dan dunia akan lebih aman.', '""Akankah partisipasi Swedia dan Finlandia membantu NATO, membantu membuat Eropa aman? Atau akan menyelamatkan tempat kami? Apakah ekspansi NATO membantu membangun perdamaian dan stabilitas di dunia?"" ujar dia lagi.', 'Namun, Vorobieva tak menerangkan lebih rinci langkah apa yang akan diambil. Ia hanya memastikan langkah tersebut bukan seperti invasi di Ukraina.', 'Pernyataan Peskov muncul saat Presiden Finlandia Sauli Niinisto bakal melawat ke Turki dan bertemu Presiden Recep Tayyip Erdoğan. Mereka dilaporkan bakal membahas soal keanggotaan Helsinki di NATO.', '', 'Erdogan sempat menunda negosiasi dengan Finlandia dan Swedia terkait proses tersebut. Namun, tampaknya kali ini ia siap meratifikasi keanggotaan Finlandia.', 'Untuk menjadi anggota NATO, calon harus mengantongi restu dari seluruh anggota tanpa terkecuali.', 'Sementara itu, anggota juga memiliki hak untuk memberi izin atau menolak suatu negara bergabung dengan aliansi militer tersebut.', 'Turki dan Hungaria ini selama ini alot memberi restu ke kedua negara Nordik itu.']",https://www.cnnindonesia.com/internasional/20230316185817-134-926077/rusia-klaim-tak-ancam-finlandia-ingin-masuk-nato-kami-tak-berselisih?page=all,CNN,internasional,2023-03-18,"['nato,', 'rusia,', 'finlandia']"
"Menteri Jerman Bakal ke Taiwan, Perdana Sejak 26 Tahun","['Menteri Pendidikan  Jerman Bettina Stark-Watzinger akan melakukan perjalanan ke  Taiwan pekan depan.', 'Lawatan tersebut merupakan perwakilan kabinet pertama Jerman yang berkunjung ke pulau itu dalam 26 tahun.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', '""Menteri akan melakukan kunjungan dua hari ke Taiwan,"" demikian pernyataan resmi Kementerian Pendidikan Jerman pada Jumat (17/3), seperti dikutip AFP.', 'Namun, mereka tak menjelaskan lebih rinci kapan persisnya ia berangkat dari Jerman dan tiba di Taiwan.', 'Pernyataan itu lalu berlanjut, ""Tujuan kunjungan ini adalah untuk memperkuat dan memperluas kerja sama dengan Taiwan di bidang sains, penelitian, dan pendidikan.""', '[Gambas:Video CNN]', 'Salah satu sumber mengatakan Stark-Watzinger tak akan bertemu Presiden Taiwan Tsai Ing Wen untuk menghindari konflik dengan China.', 'Rencana kunjungan itu berlangsung usai delegasi parlemen Jerman melawat ke Taipei pada Januari lalu. Imbas tindakan ini, China murka.', 'China memang kerap jengkel jika ada delegasi pemerintahan atau pejabat yang berkunjung ke Taiwan. Mereka menganggap lawatan itu sebagai bentuk dukungan ke Taipei yang ingin memerdekakan diri.', '', 'Pemerintah China juga tak segan memutus hubungan dengan dengan negara yang dianggap mendukung Taiwan atau menjatuhkan sanksi ke pejabat yang melawat ke pulau itu.', 'Taiwan selama ini berjuang keras untuk memisahkan diri dari China. Namun, pemerintahan Beijing terus mempertahankan dan bakal menggunakan segala cara, jika perlu dengan paksa, agar Taiwan tak lepas.']",https://www.cnnindonesia.com/internasional/20230317200632-134-926578/menteri-jerman-bakal-ke-taiwan-perdana-sejak-26-tahun?page=all,CNN,internasional,2023-03-17,"['jerman,', 'taiwan,', 'china']"
"Perang Molor, Putin Desak Crazy Rich Rusia Simpan Harta Dalam Negeri","['Presiden Vladimir Putin   mendesak miliarder Rusia  untuk menempatkan patriotisme sebelum mencari keuntungan pribadi.', 'Putin menuntut para kaum crazy rich Rusia untuk menyimpan modal di dalam negeri demi menopang perekonomian negara. Ekonomi Rusia memang yang terus didera sanksi dan isolasi negara Barat sejak melancarkan invasi ke Ukraina pada Februari 2022 lalu.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', '""Pengusaha yang bertanggung jawab adalah warga negara Rusia yang sebenarnya, warga negara yang memahami dan bertindak untuk kepentingan negara,"" ucap Putin saat berbicara kepada elit bisnis Rusia secara pribadi untuk pertama kalinya sejak invasi berlangsung pada Kamis (16/3) di Moskow.', '""Dia (pengusaha itu) tidak menyembunyikan aset di luar negeri, tetapi mendaftarkan perusahaan di sini, di negara kita, dan tidak bergantung pada otoritas asing,"" paparnya menambahkan.', 'Dalam kesempatan itu, Putin menegaskan peran para pengusaha Rusia bukan hanya untuk menghasilkan uang membantu negara yang masih berperang, tapi juga mendukung masyarakat.', '[Gambas:Video CNN]', 'Putin memuji ""para pebisnis tinggi"" yang menjaga para pekerja dan karyawan mereka tidak hanya untuk mendapat keuntungan untuk perusahaan tapi juga ""kebaikan publik.""', 'Beberapa miliarder Rusia yang terkenal dan hadir dalam pertemuan itu ialah Oleg Deripaska, Vladimir Potanin, Alexei Mordashov, Khan Jerman, Viktor Vekselberg, Viktor Rashnikov, Andrei Melnichenko, dan Dmitry Mazepin. Mereka memiliki usaha mulai dari pertambangan, logam, perbankan, hingga pupuk.', 'Sejak Rusia menginvasi Ukraina, banyak taipan oligarki Negeri Beruang Merah ikut terkena sanksi negara Barat.', '', 'Putin mengatakan bahwa apa yang dia sebut sebagai upaya Barat untuk menghancurkan ekonomi Rusia dengan sanksi telah gagal. Namun dia juga menyampaikan nada urgensi, dengan mengatakan bahwa negara tidak dapat berdiam diri menghadapi tantangan saat ini.', 'Meski para pengusaha itu menyambut pidato Putin dengan tepuk tangan meriah, sang presiden tetap meminta mereka lebih mementingkan kebutuhan negara dan bukan keuntungan mereka sendiri.', '""Saya sangat memahami ancaman yang sedang terjadi dan apa yang dikatakan para simpatisan kepada kami, mengatakan bahwa Rusia akan memiliki masalah dalam jangka menengah. Ya, ini adalah ancaman yang harus kita ingat,"" ujar Putin mewanti-wanti para pengusaha.', '""Saya mendesak Anda untuk tidak menunggu konsekuensi negatif dari jangka menengah ini datang ... Anda harus bertindak sekarang,"" paparnya lagi seperti dikutip Reuters.']",https://www.cnnindonesia.com/internasional/20230317100107-134-926239/perang-molor-putin-desak-crazy-rich-rusia-simpan-harta-dalam-negeri?page=all,CNN,internasional,2023-03-17,"['rusia,', 'vladimir', 'putin,', 'putin,', 'oligarki', 'rusia,', 'taipan', 'rusia,', 'invasi', 'rusia', 'ke', 'ukraina,', 'perang', 'rusia', 'ukraina,', 'rusia', 'vs', 'ukraina,', 'pengusaha', 'rusia']"
Dua Negara Anggota NATO Pastikan Sumbang Jet Tempur ke Ukraina,"['Sebanyak dua negara anggota Pakta Pertahanan Atlantik Utara ( NATO ) memastikan bakal menyumbang jet tempur untuk Ukraina  melawan Rusia.', 'Polandia dan Slovakia jadi dua negara anggota NATO yang akan mengirim jet tempur mereka ke Ukraina.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', 'Perdana Menteri Eduard Heger mengatakan Slovakia sepakat mengirim 13 jet tempur MiG-29 ke Ukraina usai Polandia melakukannya terlebih dahulu, Jumat (17/3).', 'Dengan pengiriman tersebut, Slovakia menjadi negara kedua NATO yang mengirim jet tempur ke Ukraina, setelah Polandia.', '""Kami akan mengirim 13 dari jet tempur MiG-29 kami ke Ukraina,"" kata Heger kepada jurnalis, seperti dikutip AFP .', '[Gambas:Video CNN]', 'Ia juga mengatakan Slovakian bakal meningkatkan bantuan militer ke Ukraina untuk membantu mereka melawan Rusia.', 'Lebih lanjut, Heger menerangkan pihaknya akan memasok sebagian dari sistem pertahanan udara Kub ke Ukraina.', 'Slovakia merupakan negara kedua, setelah Polandia, yang mengirim pesawat tempur ke Ukraina baru-baru ini.', 'Pada Kamis, Polandia mengumumkan bakal mengirim empat jet tempur MiG-29 ke Ukraina dalam beberapa hari mendatang.', 'Polandia menjadi negara NATO pertama yang mengirim jet ke negara yang diinvasi, saat anggota lain masih ogah melakukannya.', '', '""Dalam beberapa hari ke depan, kami akan menjadi yang pertama mengirimkan, jika saya mengingatnya dengan benar, empat pesawat ke Ukraina,"" kata Presiden Polandia, Andrzej Duda, seperti dikutip AFP .', 'Saat ini, Polandia memiliki sekitar 12 jet MiG yang dulu mereka dapat dari Jerman Timur di masa sebelum perdamaian. Empat dari jumlah itu akan dikirim ke Ukraina.', 'Duda mengatakan jet-jet itu masih beroperasi untuk Angkatan Udara Polandia, meski secara usia tergolong lama.', '""Jet itu sudah di tahun-tahun terakhir masa operasional, tapi sebagian besar masih beroperasi dengan baik,"" ujar dia.', 'Pengiriman jet tempur itu dianggap bisa menambah kekuatan Ukraina melawan Rusia.', ""Selama ini, Ukraina 'merayu' negara Barat untuk mengirim jet tempur F-16 guna memperkuat pasukan mereka. Namun, hingga kini belum ada tanda-tanda mereka akan mengirim."", '', 'Ukraina pun menyampaikan terima kasih atas bantuan MiG itu meski dianggap tak menyelesaikan masalah.', '""MiG tak akan menyelesaikan masalah. Kami butuh F-16. Namun, MiG akan membantu memperkuat kapabilitas kami,"" ujar juru bicara Angkatan Udara Ukraina, Yuriy Ignat.', 'Sementara itu, Rusia menanggapi rencana pengiriman jet tersebut dengan agresif.', 'Kremlin menyatakan akan ""menghancurkan"" jet Polandia dan Slovakia yang dikirim ke Ukraina.']",https://www.cnnindonesia.com/internasional/20230317180626-134-926515/dua-negara-anggota-nato-pastikan-sumbang-jet-tempur-ke-ukraina?page=all,CNN,internasional,2023-03-17,"['nato,', 'rusia', 'vs', 'ukraina,', 'rusia,', 'ukraina,', 'polandia,', 'slovakia']"
"Demo di Prancis Tolak RUU Pensiun Rusuh, Polisi Tembak Gas Air Mata","['Polisi di  Prancis menembakkan gas air mata ke pengunjuk rasa yang menolak perubahan aturan pensiun di seberang parlemen, Place de la Concorde, Paris, Kamis (16/3).', 'Demonstrasi tersebut berujung kerusuhan. Sekitar 7.000 orang berunjuk rasa menentang reformasi pensiun itu.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', 'Reporter Reuters melaporkan melihat batu dilemparkan ke arah polisi yang berusaha membubarkan pedemo.', 'Polisi terus mencoba membubarkan para pengunjuk rasa di depan kompleks parlemen, tetapi tampaknya belum berhasil.', '[Gambas:Video CNN]', 'Polisi lalu bergerak ke Place de la Concorde, sementara yang lain menembakkan meriam air usai aksi pembakaran di tengah alun-alun itu.', 'Mereka kemudian melepas gas air mata untuk membubarkan massa.', '', 'Sebelumnya, Presiden Prancis Emmanuel Macron meminta Perdana Menteri Elisabeth Borne untuk menggunakan kekuatan konstitusional khusus demi mengesahkan rancangan undang-undang (RUU) terkait reformasi pensiun.', 'Penggunaan konstitusional khusus itu bisa memuluskan jalan RUU menjadi UU tanpa melalui pemungutan suara di parlemen.', 'Beberapa waktu terakhir Prancis bergejolak usai pemerintahan mengusulkan usia pensiun.', '', 'Berdasarkan draf aturan terbaru, pemerintah akan menaikkan usia pensiun dari 62 tahun menjadi 64 tahun.', 'Selain itu, pemerintah juga akan menaikkan syarat jumlah tahun minimal warga bekerja untuk mendapat pensiun penuh.', 'Banyak para pekerja yang protes dengan rencana itu. Mereka ogah bekerja lebih panjang sebelum bisa mengantongi dana pensiun.']",https://www.cnnindonesia.com/internasional/20230317165652-134-926486/demo-di-prancis-tolak-ruu-pensiun-rusuh-polisi-tembak-gas-air-mata?page=all,CNN,internasional,2023-03-17,"['prancis,', 'demo', 'di', 'prancis']"
Ukraina: 1.000 Tentara Rusia Tewas dan 12 Tank Hancur dalam Sehari,"['Ukraina  mengklaim lebih dari 1.000 tentara  Rusia tewas dan 12 tank pasukan Negeri Beruang Merah hancur dalam peperangan di negara itu dalam 24 jam terakhir.', 'Staf Umum Angkatan Bersenjata Ukraina melaporkan total 1.040 tentara Rusia tewas. Dengan demikian, diperkirakan jumlah total pasukan Rusia yang tewas sejak awal perang sebanyak 162.560 orang.', 'Kyiv juga mengklaim Rusia telah kehilangan 12 tank dan 11 kendaraan lapis baja pada hari sebelumnya. Total kerugian tank Rusia pun menjadi 3.504 selama perang, dan kerugian kendaraan lapis baja sebanyak 6.810.', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', 'Seperti dilansir Newsweek , Ukraina pertama kali mulai melaporkan lebih dari 1.000 kematian harian pasukan Rusia sejak Februari lalu.', '', 'Namun, penghitungan kerugian personel Rusia di Ukraina lebih tinggi dari perkiraan Barat.', 'Pusat Studi Strategis dan Internasional (CSIS) menyatakan pada Februari lalu bahwa pada tahun pertama perang, ada sekitar 70 ribu korban jiwa pertempuran Rusia.', 'Penghitungan CSIS termasuk kematian pasukan dari berbagai angkatan bersenjata Rusia, seperti tentara reguler, penjaga nasional Rosgvardiya, Layanan Keamanan Federal, dan Layanan Penjaga Federal.', '[Gambas:Video CNN]', 'Angka itu sudah termasuk dari pasukan lain yang ikut berperang di pihak milisi pro-Rusia, seperti Milisi Rakyat Donetsk dan Milisi Rakyat Luhansk, serta perusahaan militer swasta seperti Wagner Group.', 'Penasihat militer senior dalam delegasi Inggris untuk Organisasi untuk Keamanan dan Kerjasama di Eropa (OCSE), Ian Stubbs, mengatakan bahwa sejak Mei 2022, sebanyak 30 ribu pasukan reguler dan tentara bayaran Wagner Group tewas dan terluka di sekitar Bakhmut.', 'Dia menyebut angka ini sebagai kehilangan besar nyawa manusia demi kemajuan teritorial dengan total kira-kira hanya 25 kilometer.', '']",https://www.cnnindonesia.com/internasional/20230317141017-134-926400/ukraina-1000-tentara-rusia-tewas-dan-12-tank-hancur-dalam-sehari?page=all,CNN,internasional,2023-03-17,"['ukraina,', 'rusia,', 'rusia', 'vs', 'ukraina,', 'rusia', 'invasi', 'ukraina']"
Inggris-Selandia Baru Larang Pejabat Instal TikTok di Gadget Kantor,"['Sejumlah negara melarang pejabat mengunduh aplikasi TikTok  di ponsel dan gawai lainnya yang terhubung ke jaringan pemerintah. Terbaru, larangan ini berlaku bagi pejabat pemerintah Inggris  dan Selandia Baru .', 'Pemerintah Inggris melarang aplikasi TikTok di perangkat resmi pemerintah karena alasan keamanan. Inggris khawatir pemerintah China bisa menekan perusahaan induk TikTok, ByteDance, untuk meminta informasi pribadi para pengguna aplikasi terpopuler itu.', '', 'ADVERTISEMENT', 'SCROLL TO RESUME CONTENT', '""Ini adalah langkah proporsional berdasarkan risiko spesifik dengan perangkat pemerintah,"" kata Menteri Sekretariat Kabinet Inggris, Oliver Dowden, seperti dikutip CNN .', 'Langkah serupa juga dilakukan pemerintah Selandia Baru, yang melarang penggunaan TikTok pada perangkat dengan akses ke jaringan pemerintah.', 'Di Selandia Baru, TikTok akan dilarang di semua perangkat yang memiliki akses ke jaringan parlemen. Ini mulai berlaku per akhir Maret.', 'Kepala Eksekutif Layanan Parlemen Selandia Baru, Rafael Gonzalez-Montero, menyatakan keputusan ini diambil setelah menerima saran dari pakar keamanan dunia maya, diskusi dengan pemerintah, dan negara lain.', '[Gambas:Video CNN]', '""Berdasarkan informasi ini, kami menentukan bahwa risikonya tidak dapat diterima di lingkungan Parlemen Selandia Baru saat ini,"" ujar Montero, diberitakan Reuters .', 'Menanggapi keputusan tersebut, TikTok menyatakan kekecewaannya.', '""Kami percaya larangan ini didasarkan pada kesalahpahaman dan didorong oleh situasi geopolitik yang lebih luas. Kami berkomitmen untuk bekerja sama dengan pemerintah untuk mengatasi masalah apa pun, tetapi harus dinilai berdasarkan fakta dan diperlakukan sama dengan pesaing kami,"" kata seorang juru bicara yang mewakili TikTok.', '', 'Sebagai tindakan nyata, pihak TikTok mengatakan akan mulai menerapkan rencana komprehensif untuk melindungi data para pengguna di Eropa, termasuk memperketat kontrol akses data, dan pengawasan independen oleh pihak ketiga.', 'TikTok menegaskan belum menerima permintaan apa pun dari pemerintah China, mengenai informasi pengguna. TikTok juga memastikan akan menolak permintaan semacam itu.', 'Sebelum Selandia Baru dan Inggris, sejumlah negara sudah lebih dahulu melarang penggunaan TikTok di kalangan pemerintah. Negara-negara itu termasuk Kanada, Uni Eropa, dan Amerika Serikat.']",https://www.cnnindonesia.com/internasional/20230317115444-134-926322/inggris-selandia-baru-larang-pejabat-instal-tiktok-di-gadget-kantor?page=all,CNN,internasional,2023-03-17,"['tiktok,', 'inggris', 'larang', 'tiktok,', 'inggris,', 'china,', 'selandia', 'baru,', 'larangan', 'tiktok']"
