headline,extracted_text,link,sources,category,timestamp,keywords
Profitabilitas Asuransi Umum Tidak Sehat,[],https://investor.id/finance/324718/profitabilitas-asuransi-umum-tidak-sehat?page=all,INVESTORID,https://investor.id/profitabilitas-asuransi-umum-tidak-sehat?page=all,2023-03-17,"['aaui,asuransi', 'umum,budi', 'herawan']"
"Bakal Bagikan Dividen, Mitratel (MTEL) Mau Tambah Besarannya",[],https://investor.id/market/324732/bakal-bagikan-dividen-mitratel-mtelmau-tambah-besarannya?page=all,INVESTORID,https://investor.id/bakal-bagikan-dividen-mitratel-mtelmau-tambah-besarannya?page=all,2023-03-16,"['mitratel,mtel,dayamitra', 'telekomunikasi,dividen,tambah', 'besaran', 'dividen']"
Nilai Investasi Solar Panel Mitratel (MTEL) Capai Rp 100 Juta,[],https://investor.id/market/324733/nilai-investasi-solar-panel-mitratel-mtel-capai-rp-100-juta?page=all,INVESTORID,https://investor.id/nilai-investasi-solar-panel-mitratel-mtel-capai-rp-100-juta?page=all,2023-03-16,"['mtel,mitratel,dayamitra', 'telekomunikasi,solar', 'panel,nilai', 'investasi']"
idEA: e-Commerce Indonesia Masih Bertumbuh Positif pada 2023,[],https://investor.id/business/324731/idea-ecommerceindonesia-masih-bertumbuh-positif-pada-2023?page=all,INVESTORID,https://investor.id/idea-ecommerceindonesia-masih-bertumbuh-positif-pada-2023?page=all,2023-03-16,"['idea,e-commerce,indonesia,2023,tyumbuh']"
"Genjot Transformasi, BNI Optimistis Kinerja Terus Melesat",[],https://investor.id/finance/324729/genjot-transformasi-bni-optimistis-kinerja-terus-melesat?page=all,INVESTORID,https://investor.id/genjot-transformasi-bni-optimistis-kinerja-terus-melesat?page=all,2023-03-16,"['bni,optimis,transformasi']"
PHR Perkuat Komitmen Keselamatan dan Keamanan Kerja,[],https://investor.id/business/324728/phr-perkuat-komitmen-keselamatan-dan-keamanan-kerja?page=all,INVESTORID,https://investor.id/phr-perkuat-komitmen-keselamatan-dan-keamanan-kerja?page=all,2023-03-16,"['pertamina', 'hulu', 'rokan']"
Suntory Garuda Bakal Lansir Okky Jelly untuk Remaja,[],https://investor.id/business/324727/suntory-garuda-bakal-lansir-okky-jelly-untuk-remaja?page=all,INVESTORID,https://investor.id/suntory-garuda-bakal-lansir-okky-jelly-untuk-remaja?page=all,2023-03-16,"['okky', 'jelly', 'versi', 'baru,suntory', 'garuda', 'beverage,sgb,okky', 'jelly,penguasa', 'pasar', 'minuman', 'jelly']"
RUPST BNI Setujui Buyback Saham Rp 905 Miliar,[],https://investor.id/finance/324724/rupst-bni-setujui-buyback-saham-rp-905-miliar?page=all,INVESTORID,https://investor.id/rupst-bni-setujui-buyback-saham-rp-905-miliar?page=all,2023-03-16,"['bni,rups.,buyback']"
"Pasang Solar Panel, Mitratel (MTEL) Bisa Efisien 15-20%",[],https://investor.id/market/324726/pasang-solar-panel-mitratel-mtel-bisa-efisien-1520?page=all,INVESTORID,https://investor.id/pasang-solar-panel-mitratel-mtel-bisa-efisien-1520?page=all,2023-03-16,"['mitratel,mtel,dayamitra', 'telekomunikasi,solar', 'panel,efisien']"
Grab: Digitalisasi Jadi Kunci Hadapi Ketidakpastian Ekonomi Global,[],https://investor.id/business/324722/grab-digitalisasi-jadi-kunci-hadapi-ketidakpastian-ekonomi-global?page=all,INVESTORID,https://investor.id/grab-digitalisasi-jadi-kunci-hadapi-ketidakpastian-ekonomi-global?page=all,2023-03-16,"['grab,grab', 'business', 'forum,2023,digitalisasi,ketidakpastian']"
