headline,extracted_text,link,sources,category,timestamp,keywords
BSKDN Mendorong Pemkab Bangkalan Meningkatkan Sebaran Inovasi,[''],https://www.jpnn.com/news/bskdn-mendorong-pemkab-bangkalan-meningkatkan-sebaran-inovasi?page=all,JPNN,nasional,2023-03-17,"['BSKDN,Kemendagri,Kepala', 'BSKDN', 'Yusharto', 'Huntoyungo,Inovasi,Bangkalan']"
"Gawat, 4 ASN Positif Narkoba",[''],https://www.jpnn.com/news/gawat-4-asn-positif-narkoba?page=all,JPNN,nasional,2023-03-17,"['Aparatur', 'Sipil', 'Negara,Positif', 'Narkoba,Polres', 'Tasikmalaya', 'Kota,sabu-sabu']"
"Warga Bekasi Demo Perusahaan Otomotif, Ini Tuntutannya",[''],https://www.jpnn.com/news/warga-bekasi-demo-perusahaan-otomotif-ini-tuntutannya?page=all,JPNN,nasional,2023-03-17,"['Bekasi,Demo,otomotif,Demonstrasi']"
Warning AKBP Eko Hartanto kepada Pelaku Kerusuhan: Kami Akan Tindak Tegas,[''],https://www.jpnn.com/news/warning-akbp-eko-hartanto-kepada-pelaku-kerusuhan-kami-akan-tindak-tegas?page=all,JPNN,nasional,2023-03-17,"['AKBP', 'Eko', 'Hartanto,Kerusuhan,perguruan', 'silat,pesilat']"
"Bea Cukai dan BNN Terus Berkolaborasi, Ini Wujud Kerja Samanya di 3 Wilayah",[''],https://www.jpnn.com/news/bea-cukai-dan-bnn-terus-berkolaborasi-ini-wujud-kerja-samanya-di-3-wilayah?page=all,JPNN,nasional,2023-03-17,"['Bea', 'Cukai,BNN,BNNP', 'Riau,Barang', 'Bukti,Ganja,penindakan,Narkotika']"
"Bea Cukai Soekarno-Hatta Musnahkan Banyak Barang Hasil Penindakan, Nilainya Fantastis!",[''],https://www.jpnn.com/news/bea-cukai-soekarno-hatta-musnahkan-banyak-barang-hasil-penindakan-nilainya-fantastis?page=all,JPNN,nasional,2023-03-17,"['pemusnahan,Barang', 'Hasil', 'Penindakan,Bea', 'Cukai,Bea', 'Cukai', 'Soekarno-Hatta,impor,industri,tembakau,Barang', 'Milik', 'Negara']"
"Soal Upaya Paksa Pembubaran Diskusi Publik Orang Utan Tapanuli, Pengamat: Pelaku Harus Diusut",[''],https://www.jpnn.com/news/soal-upaya-paksa-pembubaran-diskusi-publik-orang-utan-tapanuli-pengamat-pelaku-harus-diusut?page=all,JPNN,nasional,2023-03-17,"['orang', 'utan', 'Tapanuli,orang', 'utan,Tapanuli,Sumut']"
KPK Ajak Anggota DPRD dari PBB Awasi Penggunaan Dana Desa,[''],https://www.jpnn.com/news/kpk-ajak-anggota-dprd-dari-pbb-awasi-penggunaan-dana-desa?page=all,JPNN,nasional,2023-03-17,"['PBB,Dprd,Awasi', 'Penggunaan', 'Dana', 'Desa,KPK,alokasi', 'dana', 'desa']"
"Langkah Kejati DKI Sudah Tepat, Tolak Restorative Justice di Kasus Mario Cs!",[''],https://www.jpnn.com/news/langkah-kejati-dki-sudah-tepat-tolak-restorative-justice-di-kasus-mario-cs?page=all,JPNN,nasional,2023-03-17,"['kasus', 'penganiayaan,Mario', 'Dandy', 'Satriyo,Kejati', 'DKI,Abdul', 'Fickar', 'Hadjar,Penganiayaan', 'berat,Restorative', 'Justice,Keadilan', 'restoratif,david', 'ozora,Mario', 'Dandy']"
"Kakak Dijadikan Tersangka Pencabulan 2 Adiknya, LPSK Terjunkan Tim",[''],https://www.jpnn.com/news/kakak-dijadikan-tersangka-pencabulan-2-adiknya-lpsk-terjunkan-tim?page=all,JPNN,nasional,2023-03-17,"['pencabulan,tersangka', 'pencabulan,LPSK,Baubau,Polres', 'Baubau,Edwin', 'Partogi,Pencabulan', 'Anak,Polisi']"
