headline,extracted_text,link,sources,category,timestamp,keywords
Asyiknya Bincang Bisnis di Sudut Arena Gernas BBI,"['Salah satu yang menarik dari gelaran Gerakan Nasional Bangga Buatan\rIndonesia (Gernas BBI) di Banjarmasin, adalah keberadaan gerai sejumlah kedai kopi. Terletak di bagian sudut arena Gernas BBI, Pojok Kopi menjadi wadah bincang bisnis dan investasi di provinsi yang menjadi pintu gerbang ibu kota negara (IKN) ini.', 'Lantunan pelan suara musik akustik dari sejumlah musisi lokal\ryang membawakan beragam genre musik, membuat suasana lebih santai dan\rnyaman. Tak heran cukup banyak pengunjung yang memadati kawasan ini untuk menikmati kopi dan aneka minuman berbahan dasar kopi sambil menikmati musik.', 'Sementara di panggung utama Gernas BBI yang menampilkan ratusan\rproduk dari 67 UMKM unggulan tersebut berlangsung pagelaran musik dari\rpenyanyi dan grup band Ibu Kota. Gelaran hiburan dan kehadiran artis-artis menjadi magnet bagi warga untuk datang ke pameran dan penjualan produk UMKM yang terbesar di Kalsel ini.', 'Di malam pertama gelaran Gernas BBI yang berlangsung 22-24 Juli\ritu, Gubernur Sahbirin Noor bersama sejumlah pejabat penting daerah\rdi antaranya Kepala Perwakilan Bank Indonesia Banjarmasin, Imam Subarka, hadir dalam pertemuan dengan kalangan pengusaha.', 'Berbagai potensi unggulan daerah mulai dari sumber daya alam, hasil hutan bukan kayu, kuliner, produk-produk UMKM hingga wisata dipaparkan di hadapan para pengusaha yang hadir di acara bincang bisnis tersebut. Mereka diharapkan tertarik untuk berbisnis maupun berinvestasi di\rKalsel.', 'Arena Pojok Kopi diisi sejumlah pelaku usaha kopi. Gubernur Kalimantan Selatan, Sahbirin Noor yang dikenal sebagai penikmat kopi ini, sangat antusias membahas upaya pengembangan kopi lokal dari hulu ke hilir. Selain masalah peningkatan ekonomi masyarakat khususnya petani, juga terkait upaya deforestasi kawasan hutan dan daerah aliran sungai (DAS).', 'Pemilik usaha Biji Kopi Borneo yang juga Ketua Serikat Petani\rIndonesia (SPI) Kalsel, Dwi Putera Kurniawan berharap potensi dan peluang bisnis kopi lokal Kalsel dapat dikembangkan secara serius oleh pemerintah daerah.', '""Banyak pengusaha baik lokal maupun nasional yang tertarik untuk\rmengembangkan wisata agro kopi, seiring perkembangan potensi bisnis kopi yang cukup menjanjikan,"" ungkap Dwi.', 'Dia juga mengaku siap bekerja sama dengan masyarakat untuk pengembangan perkebunan kopi sekaligus wisata agro kopi.', 'Dwi menyebut tingkat permintaan kopi lokal Kalsel baik konsumsi\rlokal hingga mancanegara seperti Uni Emirat Arab, Qatar, Malaysia, Jepang dan Mesir cukup besar mencapai 200 ton per bulan. Sementara ketersediaan kopi lokal baru 1% atau sekitar 2 ton per bulan.', 'Menteri Pariwisata Ekonomi Kreatif, Sandiaga Uno melalui sambungan jarak jauh, pada saat pembukaan Gernas BBI mengatakan UMKM\rmerupakan motor penggerak dan penopang ekonomi nasional. Karena itu\rpihaknya mendukung kampanye Gernas BBI guna meningkatkan ekonomi kreatif, akses pasar, peluang usaha dan lapangan kerja, termasuk di Kalsel yang dinilai cukup potensial. (N-2)']",https://mediaindonesia.com/nusantara/509197/asyiknya-bincang-bisnis-di-sudut-arena-gernas-bbi,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509197/asyiknya-bincang-bisnis-di-sudut-arena-gernas-bbi,2022-07-24,[]
Polri Selisik Jejak Digital Versi Keluarga Brigadir  Yoshua,"['KADIV Humas Polri Irjen Dedi Prasetyo mengatakan pihaknya akan mendalami soal adanya jejak digital pembunuhan berencana yang ditemukan keluarga Brigadir J atau Nofriansyah Yoshua Hutabarat.', 'Dedi mengaku belum bisa berkomentar banyak mengenai temuan tersebut. Kepolisian akan menyampaikan lebih lanjut ketika penyidik selesai melakukan pendalaman.', '""Semua info yang ada sedang didalami oleh tim penyidik Bareskrim. Kalau sudah selesai akan disampaikan,"" kata Dedi, ketika dihubungi, Minggu (24/7).', 'Sebelumnya, pengacara keluarga Brigadir J atau Nofriansyah Yoshua Hutabarat, Kamaruddin Simanjuntak, mengatakan pihaknya menemukan jejak elektronik dugaan pembunuhan berencana terhadap Brigadir J. Kamaruddin mengaku ada bukti rekaman elektronik terkait dugaan pembunuhan berencana itu.', '""Satu hal yang perlu diinformasikan adalah kami sudah menemukan jejak digital dugaan pembunuhan berencana, artinya ada rekaman elektronik,"" kata Kamaruddin.', 'Kamaruddin mengatakan dari rekaman elektronik yang diperoleh terlihat almarhum Brigadir Yoshua mengalami ketakutan pada Juni 2022 hingga menangis.', 'Kamaruddin menyebut dugaan ancaman pembunuhan itu terus berlanjut hingga satu hari menjelang kejadian. Ia menduga tempat kejadian pembunuhan Brigadir J berada di Jateng atau pun di rumah Ferdy Sambo.', '""Namun salah satu yang saya pastikan, itu pengancamannya di Magelang (Jawa Tengah). Untuk TKP tidak tertutup kemungkinan bisa terjadi di Magelang atau antara Magelang-Jakarta atau di rumah Ferdy Sambo,"" terangnya.', 'Diketahui, Brigadir J disebut tewas dalam insiden saling tembak dengan Bharada E di rumah Irjen Ferdy Sambo di Komplek Polri Duren Tiga, Jakarta Selatan, Jumat (8/7). Namun, peristiwa itu baru diungkap pada Senin (11/7).', 'Polisi mengklaim penembakan itu berawal dari dugaan pelecehan yang dilakukan Brigadir J terhadap istri Sambo.', 'Polisi mengatakan Brigadir J mengeluarkan total tujuh tembakan, yang kemudian dibalas lima kali oleh Bharada E. Tidak ada peluru yang mengenai Bharada E. Sedangkan tembakan Bharada E mengenai Brigadir J hingga tewas.', 'Kapolri telah membentuk tim khusus untuk mengusut insiden tersebut. Selain itu, Komnas HAM juga melakukan penyelidikan secara independen terhadap kasus itu.', 'Saat ini Sambo telah dinonaktifkan dari jabatannya sebagai Kadiv Propam Polri. Kapolri mengatakan penonaktifan Sambo agar penyidikan kasus penembakan Brigadir J terlaksana dengan baik dan menghindari berbagai spekulasi di ruang publik. (OL-8)']",https://mediaindonesia.com/megapolitan/509196/polri-selisik-jejak-digital-versi-keluarga-brigadir-yoshua,MEDIAINDONESIA,https://mediaindonesia.com/megapolitan/509196/polri-selisik-jejak-digital-versi-keluarga-brigadir-yoshua,2022-07-24,[]
Orangtua Mahasiswa Sekolah Bisnis dan Manajemen ITB Tuntut Penyelesaian Kemelut,"['', 'Sejumlah orangtua mahasiswa Sekolah Bisnis dan Manajemen Institut\rTeknologi Bandung (SBM ITB) bersiap menempuh jalur hukum terkait\rpermasalahan yang terjadi di SBM ITB. Permasalahan itu tak kunjung selesai meski sudah berjalan delapan bulan.', 'Perwakilan orang tua mahasiswa SBM ITB, Ali Nurdin, menyampaikan sejak\rawal Desember 2021 kualitas pendidikan di SBM ITB hingga saat ini\rmenurun. Padahal, pihak rektorat ITB mengatakan sudah membentuk tim\rtransisi dan transformasi SBM ITB pada 18 Maret 2022, yang terdiri atas\runsur rektorat dan unsur SBM ITB.', 'Mereka bekerja hingga Juni 2022 untuk mencari solusi  atas permasalahan yang ada di SBM ITB. ""Sampai sekarang tak ada informasi sedikit pun soal apa hasil rekomendasi dari Tim Transisi dan Transformasi SBM ITB. Kami juga tidak pernah dapat informasi soal sikap rektor ITB pada rekomendasi dari tim  transisi,"" kata Ali di Bandung, Minggu (24/7).', 'Ali mengatakan, Rektor ITB tak pernah memberikan keterangan bagaimana\rmenyelesaikan permasalahan yang terjadi di SBM ITB dengan efektif.\r""Padahal, kami sudah berulang kali minta rektor mengundang kami sebagai\rorang tua mahasiswa untuk menjelaskan secara resmi perkembangan\rpenyelesaian permasalahan yang ada di SBM ITB,"" ujarnya.', 'Ali mengatakan, pihak orang tua mahasiswa sudah melayangkan somasi\rpertama pada 12 Mei 2022. Namun, somasi itu tak mendapat respons hingga\rkemudian melayangkan kembali somasi kedua pada 16 Juni 2022. Tetapi,\rtetap tak ada!respons sama sekali dari rektor.', '""Kami kecewa dan sangat menyesalkan sikap rektor ITB ini yang\rmemperlihatkan tak mampu dalam menyelesaikan permasalahan yang ada di\rSBM ITB. Situasi ini jelas kami khawatir berisiko pada menurunnya mutu\rdan moral pendidikan di SBM ITB dan ITB secara keseluruhan, "" ucapnya', 'Menurutnya, ada tujuh faktor yang dapat menurunkan mutu pendidikan di\rSBM ITB, seperti penurunan pagu anggaran pendidikan di SBM yang semual\rRp 103 miliar di 2021 menjadi Rp 94,5 miliari di 2022, hilangnya\rbeberapa kegiatan pendidikan, adanya unifikasi alokasi anggaran untuk\rsemua fakultas/sekolah/prodi dengan pnstur yang sama padahal\rkebutuhannya berbeda-beda dalam mencapai standar nasiomal atau\rInternasional.', 'Kemudian rantai birokrasi administrasi pendidikan yang terpusat\r(sentralisasi) di ITB sampai tak efisien dan menghambat pelayanan\rpendidikan bagi mahasiswa ITB, berkurangnya para dosen senior dan dosen\rpraktisi atau profesional, menurunnya semangat para dosen SBM ITB dan\rtenaga kependidikan yang tersisa, hingga adanya wacana melibatkan dosen\rdari fakultas lain di luar SBM ITB tanpa prosedur kompetensi dan\rkepantasan yang jelas, dan belum adanya pejabat dekanat SBM ITB yang\rdefinitif sampai sekarang.', '""Kami, forum orangtua mahasiswa SBM, dengan tekad untuk menjaga dan\rmemajukan kualitas pendidikan yang ada di SBM ITB, ajukan somasi terbuka ke Rektor ITB, MWA ITB, dan Mendikbud RI untuk segera menyelesaikan permasalahan yang ada di SBM. Bila sampai akhir Juli ini tak ada penjelasan bagaimana cara menyelesaikan permasalahan yang ada, maka dengan sangat terpaksa kami akan ambil upaya hukum untuk perjuangkan hak-hak kami dan anak-anak kami yang dilindungi dan dijamin oleh konstitusi UUD 1945,"" jelasnya.', 'Ketika disinggung upaya hukum semacam apa, Ali mempertegas semisal\rmelakukan gugatan ke Pengadilan Negeri Bandung serta mengadukan dan\rmenyampaikan masalah tersebut ke Ombudsman. ""Pada intinya, kami ingin\rSBM ITB ini berada pada jalurnya lagi, tidak ingin kualitasnya. Kami kami juga tidak ingin mempermalukan ITB."" (N-2)']",https://mediaindonesia.com/nusantara/509195/orangtua-mahasiswa-sekolah-bisnis-dan-manajemen-itb-tuntut-penyelesaian-kemelut,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509195/orangtua-mahasiswa-sekolah-bisnis-dan-manajemen-itb-tuntut-penyelesaian-kemelut,2022-07-24,[]
Pemotor Tabrak Mobil Patroli Polisi di Jaktim,"['MOBIL patroli Polres Jakarta Timur ditabrak dua pesepeda motor di Jalan Mayjen Sutoyo, Cililitan, Kramatjati, Jakarta Timur, Minggu (24/7) dini hari.', 'Kepala Satuan Lalu Lintas Wilayah Jakarta Timur AKBP Edy Surasa menjelaskan kecelakaan itu terjadi sekitar pukul 01.05 WIB. Kejadian berawal saat mobil patroli melaju dari arah Cawang UKI menuju Pusat Grosir Cililitan (PGC).', '""Pas di putaran BKN (Badan Kepegawaian Negara) itu, dia (sopir mobil patroli) mau berputar arah lagi ke utara (arah Cawang UKI),"" ujar Edy kepada wartawan, Minggu (24/7)', 'Namun, pada saat bersamaan, dua sepeda motor jenis Yamaha Aerox melaju kencang dari arah selatan menuju utara melalui jalur busway dan menabrak mobil patroli.', 'Akibat tabrakan itu, bemper mobil patroli itu lepas. ""Hanya bagian bemper aja, bempernya lepas,"" kata Edy.', 'Sementara itu, pengendara motor mengalami luka-luka dan dibawa ke Rumah Sakit Polri Kramat Jati, Jakarta Timur.', 'Kepala Samapta Bhayangkara (Sabhara) Polres Jakarta Timur AKBP Khairuddin mengatakan sedangkan sopir mobil patroli dalam kondisi baik dan tidak mengalami luka-luka. ""Kondisi (sopir) baik,"" kata Khairuddin. (OL-8)']",https://mediaindonesia.com/megapolitan/509194/pemotor-tabrak-mobil-patroli-polisi-di-jaktim,MEDIAINDONESIA,https://mediaindonesia.com/megapolitan/509194/pemotor-tabrak-mobil-patroli-polisi-di-jaktim,2022-07-24,[]
Ratusan Pemanah Jawa-Bali Ramaikan Lomba Jemparingan Gaya Mataraman di  Klaten,"['RATUSAN pemanah dari Jawa dan Bali mengikuti Gladhen Ageng Jemparingan\r2022 yang digelar di lapangan Kalibajing, Desa Pakahan, Kecamatan\rJogonalan, Klaten, Minggu (24/7).', 'Gladhen Ageng Jemparingan dalam rangka menyambut Hari Jadi ke-218\rKlaten, dibuka oleh Kepala Dinas Kebudayaan Pemuda Olahraga dan\rPariwisata (Disbudporapar) Klaten Sri Nugroho.', 'Ketua Panitia Gladhen Ageng Jemparingan, Agung Kritantana, menyebutkan\rjumlah pemanah yang hadir sekitar 500 orang. Mereka dari 20 kota di Jawa dan Bali, termasuk pemanah dari Pulau Madura.', 'Lomba panahan tradisional itu dengan gaya mataraman, yakni memanah\rbandulan (sasaran) dengan posisi duduk atau bersila. Selain itu, pemanah diwajibkan berpakaian adat daerah masing-masing.', 'Untuk peserta lomba panahan dari Jawa diwajibkan mengenakan sorjan dan\rkain jarik lengkap dengan ikat kepala atau blangkon. Sementara pemanah\rasal Bali dengan memakai kain kamen dan udeng.', '""Demikian juga dengan pemanah perempuan yang turut ambil bagian dalam\rGladhen Ageng Jemparingan. Mereka juga diwajibkan mengenakan kebaya dan\rkain jarit maupun kamen,"" imbuh Agung Kristantana.', 'Mengenakan pakaian adat adalah merupakan salah satu syarat wajib bagi\rpeserta. Jika ada peserta yang tidak mengenakan pakaian adat\rdidiskualifikasi, meskipun dalam lomba itu mendapatkan poin tinggi.', 'Sementara itu, Kepala Disbudporapar Klaten Sri Nugroho memberikan\rapresiasi penyelenggaraan Gladhen Ageng Jemparingan gaya mataraman dalam  rangka memeriahkan Hari Jadi ke-218 Klaten.', 'Kegiatan lomba jemparingan gaya mataraman dinilai sangat bermakna bagi\rgenerasi penerus dalam upaya melestarikan budaya secara turun temurun.\rKarena itu, jemparingan ini ke depan perlu dijaga.', '""Kami berharap kegiatan lomba jemparingan gaya mataraman sebagai\rrepresentasi latar belakang budaya daerah itu terus dikembangkan dan\rdilestarikan agar tidak tergerus oleh budaya asing,"" pungkasnya. (N-2)']",https://mediaindonesia.com/nusantara/509193/ratusan-pemanah-jawa-bali-ramaikan-lomba-jemparingan-gaya-mataraman-di-klaten,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509193/ratusan-pemanah-jawa-bali-ramaikan-lomba-jemparingan-gaya-mataraman-di-klaten,2022-07-24,[]
Riko Simanjuntak Bawa Persija Imbangi Chonburi FC,"['Riko Simanjuntak membawa Persija mengimbangi tim Liga Thailand Chonburi FC dengan skor 3-3 pada laga yang menjadi bagian dari seremoni pembukaan raya (grand launching) Jakarta International Stadium (JIS) di Jakarta, Minggu malam (24/7).', 'Dalam pertandingan di JIS, Jakarta, itu, gol Persija lainnya dihadirkan oleh Taufik Hidayat, sementara Chonburi meraih gol melalui Yoo Byung-soo (dua gol) dan Danilo.', 'Pada laga itu, Persija turun dengan sebagian besar pemain muda lantaran skuad senior baru saja berlaga di Liga 1 Indonesia 2022-2023 melawan Bali United di Bali, sehari sebelumnya.', 'Meski begitu, skuad berjuluk Macan Kemayoran tetap memainkan beberapa nama andalan seperti Taufik Hidayat, Riko Simanjuntak dan Ricky Cawor. Mereka sempat memperkuat Persija di Bali, tetapi tak mendapatkan banyak menit bermain. Riko bahkan sama sekali tak tampil ketika itu.', 'Meski menurunkan skuad belia, Persija tetap tampil menggigit dan bahkan unggul terlebih dahulu pada menit ke-13 melalui tendangan Taufik Hidayat yang memanfaatkan umpan Riko Simanjuntak.', 'Namun, hanya berselang tiga menit kemudian, Chonburi FC mampu menyamakan kedudukan melalui Yoo Byung-soo. Yoo kemudian melesakkan gol keduanya pada menit ke-26.', 'Ketinggalan 1-2, Persija kemudian membuat gol kembali pada menit ke-41 dari kaki Riko. Kali ini, Taufik yang menjadi pengirim assist. Skor 2-2 pun menjadi penanda laga memasuki masa jeda.', 'Usai turun minum, Chonburi lagi-lagi unggul dari sumbangan gol sundulan penyerang Danilo yang berawal dari sepak pojok pada menit ke-69.', 'Akan tetapi, kemenangan Chonburi yang sudah di depan mata terbuang lantaran Riko Simanjuntak kembali mencatatkan namanya di papan skor pada menit ke-88. Pertandingan tuntas dengan skor imbang 3-3. (OL-8)']",https://mediaindonesia.com/sepak-bola/509191/riko-simanjuntak-bawa-persija-imbangi-chonburi-fc,MEDIAINDONESIA,https://mediaindonesia.com/sepak-bola/509191/riko-simanjuntak-bawa-persija-imbangi-chonburi-fc,2022-07-24,[]
Bupati Brebes Imbau Pelaku UMKM Ikut Menjadi Anggota Koperasi,"['PELAKU Usaha Mikro, Kecil dan Menengah (UMKM) di Kabupaten Brebes, Jawa Tengah, diimbau untuk ikut menjadi anggota koperasi. Tujuannya, agar hasil produk UMKM mereka bisa dijual lewat koperasi dan pasar umum.', 'Imbauan tersebut disampaikan Bupati Brebes Idza Priyanti, usai menghadiri peringatan hari ulang tahun (HUT) Koperasi yang ke-75 di Stadion Karangbirahi, Brebes pada Minggu (24/7).', 'Terdapat sejumlah kegiatan yang digelar dalam peringatan HUT Koperasai\rke-75 di Kabupaten Brebes, yakni senam massal, jalan sehat atau santai dan vaksinasi Booster.', 'Kegiatan dimulai dengan melakukan senam massal yang diikuti bupati dan\rpejabat di  lingkungan Pemerintah Kabupaten (Pemkab) Brebes serta sejumlah elemen masyarakat lainnya.', 'Usai senam massal acara dilanjutkan dengan jalan santai menyusuri jalanan di sekkitar Stadion Karang Birahi. Vaksinasi Booster yang antusias diikuti warga juga berlangsung di tempat yang sama.', 'Lebih jauh, Idza juga terus mendorong bertumbuhnya koperasi di Brebes.\r""Keikutsertaan para pelaku UMKM semata-mata untuk meningkatkan\rkesejahteraan mereka. Kan barang-barang produksi mereka juga bisa\rdipasarkan di antara anggota koperasi. Juga tentu bisa diperluas ke pasar-pasar lainnya, baik pasar tradisional atau pasar modern. Dengan kemasan hasil produksinya dibuat menarik tentu bisa dipasarkan ke\rpertokoan modern juga,"" ujar Idza.', 'Kepala Dinas Koperasi Usaha Mikro dan Perdagangan Kabupaten Brebes Zaenudin Karmo Ali, menuturkan dalam upaya menumbuhkan koperasi,  pihaknya memberikan bantuan dan juga peralatan produksi.', '""Bantuan untuk koperasi bukan hanya dari pemerintah Kabupaten\rBrebes. Namun, juga dari Provinsi Jawa Tengah bahkan Pemerintah Pusat,""\rjelas Zaenudin Karmo Ali.', 'Pada peringatan HUT Koperasi ke-75 yang bertemakan ""Transformasi Koperasi untuk Ekonomi Berkelanjutan"", Pemkab Brebes melalui  Dinas\rKoperasi, Usaha Mikro dan Perdagangan tersebut, juga menggelar undian berhadiah. (N-2)']",https://mediaindonesia.com/nusantara/509192/bupati-brebes-imbau-pelaku-umkm-ikut-menjadi-anggota-koperasi,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509192/bupati-brebes-imbau-pelaku-umkm-ikut-menjadi-anggota-koperasi,2022-07-24,[]
Borneo FC Manfaatkan Krisis Pemain Arema FC,"['PELATIH Borneo FC Milomir Seslija mengaku puas dengan penampilan para pemainnya yang telah berhasil mengalahkan Arema FC dengan skor telak 3-0 pada pertandingan Liga 1 Indonesia musim 2022/2023 di Stadion Segiri Samarinda, Kaltim, Minggu (24/7).', '""Saya tahu permasalahan kami dalam final Piala Presiden 2022. Kami pergi untuk mencari solusi dan hari ini kami bermain bagus di laga pertama. Dalam 10 menit kami mencetak dua gol dan membuat banyak peluang. Saat ini kami menunjukkan kami lebih baik dari Arema,"" kata pelatih yang akrab di sapa Milo itu selepas pertandingan.', 'Milo mengakui Arema merupakan tim yang bagus, karena para pemainnya telah merasakan pada ajang Piala Presiden 2022 dan harus mengakui kekalahan di laga final dengan agregat gol 1-0 dalam penentuan gelar juara.', '""Kami tahu saat ini Arema dalam kondisi krisis pemain, dan kami bisa memanfaatkan momentum itu dengan sebaik- baiknya,"" kata Milo.', 'Hasil tiga poin pada laga perdana, dinilai Milo merupakan hal yang sangat penting karena bisa menambah kepercayaan diri para pemainnya, untuk menghadapi laga selanjutnya di kompetisi Liga 1.', '""Setelah kalah di final Piala Presiden, kami butuh sesuatu untuk membuat kepercayaan diri kami kembali. Beruntung kami bertemu lagi dengan Arema di laga perdana Liga, dan kami bisa menunjukkan bahwa kami bisa memenangi pertandingan,"" jelas Milo.', 'Pada laga tersebut, dua pemain andalan yakni Javlon dan Bustos harus absen karena cedera, sehingga Milo harus memaksimalkan pemain yang ada untuk meredam ambisi Arema FC yang berniat mencuri poin di Samarinda.', '""Tak lupa kami memberikan apresiasi kepada para suporter yang hadir untuk mendukung kami di pertandingan,"" kata Milo.', 'Sementara itu pencetak dua gol kemenangan tim Borneo FC, Ahmad Nur Hardianto mengaku puas karena telah ikut berkontribusi membawa kemenangan tim Borneo FC pada laga perdana Liga 1.', '""Kami bersyukur bisa membalas kekalahan dengan Arema pada ajang Piala Presiden di liga, dan semoga hasil positif ini terus berlanjut, karena kami berharap bisa meraih hasil kemenangan di laga selanjutnya,""\'kata Nur. (OL-8)']",https://mediaindonesia.com/sepak-bola/509189/borneo-fc-manfaatkan-krisis-pemain-arema-fc,MEDIAINDONESIA,https://mediaindonesia.com/sepak-bola/509189/borneo-fc-manfaatkan-krisis-pemain-arema-fc,2022-07-24,[]
Kemenkumham Babel Serahkan Paket Bantuan Kepada Masyarakat Desa Terpencil,"['JAJARAN Kantor Wilayah dan seluruh Unit Pelaksana Teknis (UPT) Kementrian Hukum dan Hak Asasi Manusia (Kemenkumham) Kepulauan Bangka Belitung (Babel) mengadakan aksi sosial sekaligus Touring Kemenkumham Peduli Daerah Terpencil,  Minggu (24/7).', 'Pada kegiatan kali ini, Kemenkumham Babel memberikan 300 paket sembako kepada masyarakat Desa Kulur Ilir, Kecamatan Lubuk Besar, Kabupaten Bangka Tengah. Hal tersebut dalam rangka memeriahkan rangkaian semarak peringatan Hari Dharma Karya Dhika (HDKD) ke-77.', 'Pemberian bantuan kepada masyarakat dipimpin langsung oleh Kepala Divisi Pemasyarakatan Agus Irianto dan didampingi oleh seluruh Kepala UPT Kemenkumham beserta jajaranya di Babel.', '""Saya menghaturkan banyak terima kasih atas keihklasannya saudara semua untuk membatu sesama membagikan paket sembako ini, semoga apa yang kita lakukan ini menjadi amal jariyah untuk kita semua,"" ujar Agus.', 'Baca juga : Santri Tasikmalaya Raih Medali Perak di Olimpiade Kimia di Tiongkok', '""Kegiatan ini adalah wujud pengabdian jajaran Kemenkumham kepada masyarakat daerah terpencil, semoga hal ini dapat berlanjut kedepannya,"" imbuh Gusron, panitia baksos Kemenkumham Babel', 'Terkait bantuan sembako tersebut, masyarakat Desa Kulur Ilir, Kecamatan Lubuk Besar, Kabupaten Bangka Tengah mengaku merasa terbantu, terutama di era pandemi Covid-19.', '""Saya mengucapkan berterima kasih kepada seluruh jajaran Kemenkumham yang telah memperhatikan kami masyarakat Desa Kulur Ilir, bantuan ini sangat berguna bagi kami di tengah pandemi covid-19,"" ujar Romdan, kepala Desa Kulur Ilir.', 'Selain mengadakan baksos, jajaran Kemenkumham juga mengadakan touring menggunakan sepeda motor trail, hal tersebut bertujuan untuk mengkampanyekan safety riding sekaligus menjalin silahturahmi antar sesama UPT.', '""Pegawai Kemenkumham harus menjadi pelopor keselamatan berlalu lintas dan selalu mengkampanyekan asas safety riding dalam berkendara di jalan raya,"" pungkas wakil Koordinator Trail Adventure Pengayoman Dodi Wijaya. (RO/OL-7)']",https://mediaindonesia.com/nusantara/509188/kemenkumham-babel-serahkan-paket-bantuan-kepada-masyarakat-desa-terpencil,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509188/kemenkumham-babel-serahkan-paket-bantuan-kepada-masyarakat-desa-terpencil,2022-07-24,[]
Srikandi Ganjar Lampung Kampanyekan Hidup Sehat,"['RELAWAN Srikandi Ganjar mengkampayekan pola hidup sehat dengan mengadakan senam aerobik dan memfasilitasi vaksinasi di Desa Dono Arum, Kec. Seputih Agung, Kab. Lampung Tengah, Prov. Lampung.', 'Korwil relawan Srikandi Ganjar Provinsi Lampung, Sandra Lestari, mengatakan senam aerobik sangat berguna dalam meningkatkan sistem kekebalan tubuh yang akan berdampak terhadap kualitas hidup seseorang.', ""Menurut Sandra, acara yang mengusung tema 'Melangkah Bersama Srikandi Ganjar' ini, diadakan berdasarkan hasil observasi langsung terhadap masyarakat, khususnya perempuan di wilayah Lampung Tengah."", '""Kita mengadakan kegiatan ini setelah melakukan survei di Lampung Tengah, dan ternyata perempuan milenial dan masyarakat perempuan disini lebih dominan menyukai senam aerobik,"" ujar Sandra di lokasi, Minggu (24/7).', 'Menurut Sandra, pola hidup sehat juga telah di contohkan oleh Ganjar Pranowo. Sandra menyebutkan Ganjar selalu berolah raga dalam upaya menjaga kesehatan tubuhnya. Olah raga yang dilakukan Ganjar diantaranya lari dan senam.', '""Kita juga melihat keselarasan kegiatan senam ini dengan aktivitas Pak Ganjar yang memang menyukai olah raga,"" ucapnya.', 'Sandra menuturkan, daya tahan tubuh yang baik akan berpengaruh terhadap proses tumbuh kembang secara fisik dan mental, terlebih saat ini di era pandemi Covid-19.', 'Selain senam aerobik, Srikandi Ganjar juga memfasilitasi adanya vaksinasi secara gratis bagi masyarakat. Vaksin dosis pertama hingga booster. Vaksin berkerjasama dengan lembaga kesehatan di wilayah setempat.', '""Kami harap perempuan di Lampung hidup sehat, baik secara jasmani maupun rohani, bisa lebih berkembang dan mandiri dalam segala hal,"" imbuhnya.', 'Acara ini diikuti sekitar 1500 orang. Mulai dari siswi, mahasiswi, influencer, pengusaha muda & aktivis muda dari berbagai daerah yang ada di Provinsi Lampung. Mereka mengenakan kaos warna pink bertuliskan Srikandi Ganjar.', 'Menurut Sandra berdasarkan hasil observasinya di Provinsi Lampung, perempuan menilai Ganjar sebagai sosok yang peduli pada perempuan. Hal itu dilihat dalam perilaku maupun kepemimpinannya sebagai mantan anggota DPR RI maupun sebagai Gubernur Jawa Tengah dua periode.', '""Pak Ganjar peduli pada perempuan, kepimpiman terbukti membawa kemajuan. Pak Ganjar mendukung kesetaraan gender,"" katanya.', 'Sandra menyatakan senam ini juga sebagai bentuk sosialisasi figur Ganjar. Ia mengajak masyarakat khususnya perempuan di Lampung Tengah agar mendukung Ganjar menjadi Presiden 2024.', 'Sandra menyampaikan, pihaknya sudah berkeliling ke 10 kabupaten yang ada di lampung, seperti : Lampung Utara, Lampung Selatan, Lampung Tengah, Lampung Timur, Lampung Barat, Tulang Bawang Barat, Way Kanan, Pringsewu, Metro, Bandar Lampung.', '""Kami akan terus melakukan agenda seperti ini sebagai bukti dukungan terhadap Bapak Ganjar Pranowo, demi Indonesia lebih baik,"" pungkasnya.', 'Dalam senam bersama ini juga diadakan doorprize secara acak dan hadiah yang menarik bagi yang bisa menjawab melalui kuis seputar profil Ganjar dan Srikandi Ganjar. Hadiah yang disediakan diantaranya ada Hp, Tv, Kulkas, hingga alat masak. (OL-13)']",https://mediaindonesia.com/nusantara/509186/srikandi-ganjar-lampung-kampanyekan-hidup-sehat,MEDIAINDONESIA,https://mediaindonesia.com/nusantara/509186/srikandi-ganjar-lampung-kampanyekan-hidup-sehat,2022-07-24,[]
