,sitemap_id,headline,sources,category,new_category
0,3865169,Hasil M5 World Championship 2023: Onic Esports Libas Deusvult 3-0,LIPUTAN6,news,Olahraga
1,3865170,"Tokopedia dan TikTok Umumkan Kolaborasi, Gelar Kampanye Beli Lokal di Harbolnas 12.12",LIPUTAN6,news,Ekonomi/Bisnis
2,3865171,"Hoaks Terkini Seputar Kesehatan, Simak Daftarnya",LIPUTAN6,news,Kesehatan
3,3865172,Cek Fakta: Tidak Benar Judul Artikel Jadwal Kunker RI 1 dan RI 3 di Daerah NTT,LIPUTAN6,news,Politik
4,3865173,90 Kata-Kata Bijak dalam Hubungan yang Menyentuh Hati dan Penuh Makna,LIPUTAN6,news,Hiburan
5,3865174,"7 Pemotretan Terbaru Fuji dengan Gaun Pengantin, Tampil Elegan",LIPUTAN6,news,Hiburan
6,3865175,"90 Kata-Kata untuk Ayah yang Sudah Meninggal, Penuh Doa dan Rindu",LIPUTAN6,news,Gaya Hidup
7,3865176,"Arti Satu Kata Buat Saya, Simak 60 Inspirasinya",LIPUTAN6,news,Hiburan
8,3865177,100 Kata Bijak Singkat Bermakna Tentang Kehidupan dan Cinta,LIPUTAN6,news,Hiburan
9,3865178,"Viral Suami Beri Kejutan Ultah Istri Pakai Sayur Lauk Teri, Sederhana Nan Manis",LIPUTAN6,news,Hiburan
10,3865179,"5 Momen Azizah Salsha Temani Arhan ke Kampus Tempat Kuliah, Dikerubungi Mahasiswa",LIPUTAN6,news,Olahraga
11,3865180,Penghitung Kata Online Adalah? Ketahui Definisi dan Aplikasinya,LIPUTAN6,news,Teknologi
12,3865181,"40 Contoh Kata Denotasi, Pahami Pengertian, Ciri, dan Fungsinya",LIPUTAN6,news,Pendidikan
13,3865182,"6 Potret Camper Van Rey Mbayang yang Dibuat untuk Dinda Hauw, Siap Traveling Bareng",LIPUTAN6,news,Hiburan
14,3865183,80 Kata-Kata Squidward tentang Kehidupan yang Mengesankan dan Relatable,LIPUTAN6,news,Hiburan
15,3865184,"Rancangan Pembebasan Pajak CBU Mobil Listrik Sudah Rampung, Bakal Segera Terbit",LIPUTAN6,news,Ekonomi/Bisnis
16,3866808,Polda Jambi panggil pimpinan travel terkait dugaan penipuan,ANTARANEWS,ANTARA News,Politik
17,3865186,"Mengenal KPPS Pemilu, Berikut Tugas hingga Wewenangnya",LIPUTAN6,news,Politik
18,3865187,Gubernur Khofifah Beri Isyarat Bergabung dengan Tim Pemenangan Prabowo-Gibran,LIPUTAN6,news,Politik
19,3865188,"Profil Ragnar Oratmangoen, Calon Pemain Timnas Naturalisasi Kelahiran Belanda",LIPUTAN6,news,Olahraga
20,3865189,Mengenal Danau Thabariyah dan Kondisinya Terkini,LIPUTAN6,news,Lingkungan
21,3865190,Rute ke Jembatan Akar Yogyakarta yang Viral di Media Sosial,LIPUTAN6,news,Lingkungan
22,3865191,"Lawan Pengaruh Amerika Serikat, Xi Jinping Kunjungi Vietnam Hari Ini",LIPUTAN6,news,Politik
23,3910326,BALI,IDXCHANNEL,news,Lingkungan
24,3865193,"Kebutuhan Rumah di Bekasi Tinggi, Pengembang Ini Garap Hunian Segmen Seharga Rp 300 Jutaan",LIPUTAN6,news,Ekonomi/Bisnis
25,3865194,"Tipu Emak-Emak Puluhan Juta Modus Jual Mobil Online, Pria Asal OKI Digelandang ke Polres Trenggalek",LIPUTAN6,news,Kriminal
26,3865195,Kelompok Houthi Yaman Ancam Hancurkan Kapal Menuju Israel Jika Gaza Dilarang Terima Bantuan Kemanusiaan,LIPUTAN6,news,Politik
27,3865196,"Kampanye Pilah Sampah Plastik Masuk Bioskop, Botol Plastik Bekas Bisa Ditukar Hadiah",LIPUTAN6,news,Lingkungan
28,3865197,"Capres Jadikan Stunting Program Prioritas, Kepala BKKBN: Itu Baru Badannya, Belum Jiwanya",LIPUTAN6,news,Politik
29,3865198,Pentingnya Nutrisi yang Baik Serta Vaksinasi Lengkap untuk Cegah Stunting pada Anak,LIPUTAN6,news,Kesehatan
30,3865199,7 Cara Menghadapi Kesedihan Setelah Kehilangan Hewan Peliharaan,LIPUTAN6,news,Kesehatan
31,3865200,"Bestie Banget, Taylor Swift dan Selena Gomez Hadiri Acara Amal untuk Gaza",LIPUTAN6,news,Hiburan
32,3865201,Putera Sampoerna Foundation Bersama Pemprov Sultra Berdayakan 30 Pengajar Lewat Program TLC,LIPUTAN6,news,Pendidikan
33,3865202,"Siapa Sebenarnya Faruk Koca, Presiden Klub Ankaragucu yang Pukul Wasit Turki Hingga Tersungkur?",LIPUTAN6,news,Lainnya
34,3865203,"Bantah Rumor Kegaduhan di Ruang Ganti, Scott Mctominay Sebut Para Pemain Manchester United Masih Mendukung Erik Ten Hag",LIPUTAN6,news,Olahraga
